YRA-RTR-HPSW1,"Reed City, MI, US (YRA  Manufacturing)",64700
CNA-RTR-HPSW1,"Cincinnati, OH, US (CNA Manufacturing)",64701
MGA-RTR-HPSW1,"Milwaukee, WI, US (MGA Manufacturing)",64702
YMA-RTR-HPSW1,"Murfreesboro, TN, US (YMA Manufacturing)",64703
MSA-RTR-HPSW1,"Murfreesboro, TN, US (MSA Manufacturing)",64704
BMA-RTR-HPSW1,"Buffalo, NY, US (BMA Manufacturing)",64705
CRA-RTR-HPSW1,"Cedar Rapids, IA, US (CRA Manufacturing)",64706
FEA-RTR-HPSW1,"Fridley, MN, US (FEA Mill)",64707
GRIO-RTR-HPSW1,"Inofita, Greece (GRIO Manufacturing)",64708
BRCB-RTR-HPSW1,"Cambara, Brazil (BRCB Manufacturing)",64709
BRSB-RTR-HPSW1," San Bernardo, Brazil (BRSB Sales Office)",64710
BVA-RTR-HPSW1,"Belvidere, IL, US (BVA Manufacturing)",64711
INMB-RTR-HPSW1,"Mumbai, India (INMB Office)",64712
INMS-RTR-HPSW1,"Mumbai, India (INMS Office)",64714
WSA-RTR-HPSW1,"Wellston, OH, US (WSA Manufacturing)",64715
JLA-RTR-HPSW1,"Joplin, MO, US (JLA Manufacturing)",64716
GNA-RTR-HPSW1,"Covington, GA, US (GNA Manufacturing)",64717
GBA-RTR-HPSW1,"Galesburg, IL, US (GBA Warehouse)",64719
KCS-RTR-HPSW1,"Kalamazoo, MI, US (KCS Warehouse)",64720
PPA-RTR-HPSW1,"Palmyra, PA, US (PPA Warehouse)",64721
DHA-RTR-HPSW1,"Dominguez Hills - Carson, CA, US (DHA Warehouse)",64722
HKKW-RTR-HPSW1,"Hongkong, China (HKKW Sales Office)",64723
AEDB-RTR-HPSW1,"Dubai, UAE (AEDB Sales Office)",64724
HNA-RTR-HPSW1,"Hannibal, MO, US (HNA Manufacturing)",64725
AUSY-RTR-HPSW1,"Sydney, Australia (AUSY Manufacturing)",64726
INBG-RTR-HPSW1,"Banglore , India (INBG Sales Office)",64727
GRAT-RTR-HPSW1,"Athens, Greece (GRAT Sales Office)",64728
RXA-RTR-HPSW1,"Toronto, Canada (RXA Sales Office)",64729
VRA-RTR-HPSW1,"Vernon, CA, US (VRA Mill)",64730
CMA-RTR-HPSW1,"Chanhassen, MN, US (CMA Manufacturing)",64731
PHA-RTR-HPSW1,"Western Business Center - Scottsdale, AZ, US (PHA Sales Office)",64733
ALA-RTR-HPSW1,"Albuqurque, NM, US (ALA Manufacturing)",64734
KRFR-RTR-HPSW1,"KOREAGyeonggido, Korea (KRFR Sales Office)",64735
HKST-RTR-HPSW1,"Hongkong, China (HKST Sales Office)",64736
ESMD-RTR-HPSW1,"Madrid, Spain (ESMD Sales Office)",64739
SCA-RTR-HPSW1,"Stockton, CA, US (SCA Warehouse)",64741
TWTC-RTR-HPSW1,"Taichung Taiwan, Taiwan (TWTC Sales Office)",64743
KRSL-RTR-HPSW1,"KOREA Seoul- Kangnam - Ku , Korea (KRSL Sales Office)",64745
FRSE-RTR-HPSW1,"Seretram, France (FRSE Manufacturing)",64746
HKCK-RTR-HPSW1,"Hongkong, China (HKCK Cake Kitchen)",64748
TWCK-RTR-HPSW1,"Taiwan (Taipei), Taiwan (TWCK Cake Kitchen)",64749
BRPU-RTR-HPSW1,"Pouso Alegra, Brazil (BRPU Manufacturing)",64750
AVA-RTR-HPSW1,"Avon, IA, US (AVA Manufacturing)",64751
KMA-RTR-HPSW1,"Kansas City, KS, US (KMA Mill)",64752
TWTP-RTR-HPSW1,"Tappei, Taiwan (TWTP Sales Office)",64753
LSH-RTR-HPSW1,"St. Hyacinthe, Canada (LSH Manufacturing)",64754
TWKH-RTR-HPSW1,"Kaoshiung Taiwan, Taiwan (TWKH Sales Office)",64755
VSA-RTR-HPSW1,"East Business Center - Dresher, PA, US (VSA Sales Office)",64756
WDC-RTR-HPSW1,"Washington, DC, US (WDC Sales Office)",64759
ROA-RTR-HPSW1,"Roanoke, TX, US (ROA Warehouse)",64760
FIA-RTR-HPSW1,"Fort Wayne, IN, US (FIA Warehouse)",64761
ESNA-RTR-HPSW1,"San Adrian, Spain (ESNA Manufacturing)",64762
INNK-RTR-HPSW1,"Nasik, India (INNK Manufacturing)",64763
BRCN-RTR-HPSW1,"Campo Novo, Brazil (BRCN Manufacturing)",64764
CNNJ-RTR-HPSW1,"Nanjing, China (CNNJ Manufacturing)",64768
SGA-RTR-HPSW1,"Social Circle, GA, US (SGA Warehouse)",64768
WIA-RTR-HPSW1,"Winnipeg, Canada (WIA Manufacturing)",64769
GBHH-RTR-HPSW1,"Uxbridge, UK (GBHH Office)",64770
CNQK-RTR-HPSW1,"Qinke, China (CNQK Sales Office)",64771
KPA-RTR-HPSW1,"Montreal, Canada (KPA Sales Office)",64772
BRCO-RTR-HPSW1,"Cajamar, Brazil (BRCO Warehouse)",64774
MGW-RTR-HPSW1,"Milwaukee, WI, US (MGW Warehouse)",64776
BRRE-RTR-HPSW1,"Recife, Brazil (BRRE Manufacturing)",64778
GSE-RTR-HPSW1,"SOO - Minneapolis, MN, US (GSE Elevator)",64781
CHT-RTR-HPSW1,"Checkerboard - Minneapolis, MN, US (CHT Elevator)",64782
XWA-RTR-HPSW1,"Xenium - Plymouth, MN, US (XWA Warehouse)",64784
SZA-RTR-HPSW1,"Superior, WI, US (SZA Elevator)",64785
CHNY-RTR-HPSW1,"Nyon, Switzerland (CHNY Sales Office)",64788
BRSA-RTR-HPSW1,"Salvador, Brazil (BRSA Warehouse)",64793
BRTG-RTR-HPSW1,"Taguatinga, Brazil (BRTG Distribution Center)",64794
HMT-RTR-HPSW1,"Manchester Tank - Hannibal, MO, US (HMT Manufacturing)",64795
BRBA-RTR-HPSW1,"Barueri, Brazil (BRBA Sales Office)",64796
BHQ-RTR-HPSW1,"Wilton, CT, US (BHQ Office)",64800
BOH-RTR-HPSW1,"Marion, OH, US (BOH Warehouse)",64801
BNE-RTR-HPSW1,"Bellevue, NE, US (BNE Warehouse)",64803
BMO-RTR-HPSW1,"Joplin, MO, US (BMO Manufacturing)",64804
BIN-RTR-HPSW1,"Richmond, IN, US (BIN Manufacturing)",64805
BAW-RTR-HPSW1,"Goodyear, AZ, US (BAW Warehouse)",64806
BGA-RTR-HPSW1,"McDonough, GA, US (BGA Warehouse)",64807
BON-RTR-HPSW1,"Burlington, Ontario, Canada (BON Sales Office)",64808
BIO-RTR-HPSW1,"Independence, IA, US (BIO Manufacturing)",64817
MYA-RTR-HPSW1,"Montgomery, IL, US (MYA Warehouse)",64818
AUML-RTR-HPSW1,"Melbourne, Australia (AUML Sales Office)",64820
MLA-RTR-HPSW1,"Miami, FL, US (MLA Sales Office)",64824
MXMC-RTR-HPSW1,"Mexico City, Mexico (MXMC Sales Office)",64825
DIL-RTR-HPSW1,"Wilmington, IL, US (DIL Warehouse)",64827
BWA-RTR-HPSW1,"Walmart - Bentonville, AR, US (BWA Sales Office)",64828
DCA-RTR-HPSW1,"Perris Valley, CA, US (DCA Warehouse)",64829
INDL-RTR-HPSW1,"Delhi, India (INDL Sales Office)",64830
ADA-RTR-HPSW1,"Carlisle, PA, US (ADA Warehouse)",64832
BVW-RTR-HPSW1,"Belvidere, IL, US (BVW Warehouse)",64833
CIA-RTR-HPSW1,"Kroger - Cincinnati, OH, US (CIA Sales Office)",64834
GFA-RTR-HPSW1,"Great Falls, MT, US (GFA Mill)",64836
CIZ-CORE-R1,"Chicago, IL, US (CIZ Datacenter)",64839
AVZ-CORE-R1,"Ashburn, VA, US (AVZ Datacenter)",64840
FRBO-RTR-HPSW1,"Boulogne, France (FRBO Sales Office)",64843
FRAR-RTR-HPSW1,"Arras, France (FRAR Manufacturing)",64845
MGOCR_JDCCR-WAN-R1,"Minneapolis, MN, US (WANPOD)",65039
HGSR1,"Guard Shack - Hannibal, MO, US (HGS Office)",65144
BPW-RTR-HPSW1,"Brooklyn Park, MN, US (BPW Warehouse)",65168
CNGU-RTR-HPSW1,"Gaungzhou, China (CNGU Manufacturing)",65332
CNSP/CNRD-RTR-HPSW1,"Shaghai, China (CNSP/CNRD Manufacturing)",65334
CNBE-RTR-HPSW1,"Beijing, China (CNBE Sales Office)",65344
CNHP-RTR-HPSW1,"3 Rivers Beijing, China (CNHP Manufacturing)",65345
CNGS-RTR-HPSW1,"Gaungzhou, China (CNGS Sales Office)",65354
MXIR-RTR-HPSW1,"Irapuato, Mexico (MXIR Manufacturing)",65503
MGO-TESTSITE1-CORE,"Network Lab SP TestSite",65095
